id2.2013,typ_border,typ_border.incl,trust_natgov,trust_eu,trust.incl,eqi_2013,eqi.incl,Competitiveness,Convergence,Cooperation,Multi.Objective,struct_2007.incl,Less.Developed,Transition,More.Developed,struct_2014.incl,unemployment_2013,unemp.incl,education_2013,edu.incl,soc_idx,soc_idx.incl,migration_2013,migration.incl,sgi_aggregated,sgi_aggregated.incl,agr_share,agr.incl,eu_id_positive,eu_id_neutral,eu_id_negative,eu_id_dk,eu_id.incl,eu_att_positive,eu_att_neutral,eu_att_negative,eu_att_dk,eu_att.incl
FI19,2,1,50.41459369817579,46.766169154228855,1,1.568136,1,1,0,1,0,1,0,0,1,1,8.5,1,38.5,1,80.27,1,2.2,1,0.83,1,5.3,1,23.43,54.25,21.66,0.64,1,40.81,38.94,16.49,3.74,1
FI1B,1,1,41.88235294117647,44,1,1.598038,1,1,0,1,0,1,0,0,1,1,6.7,1,49.3,1,81.19,1,7.5,1,4.22,1,0.9,1,30.5,44.03,24.31,1.14,1,50.72,30.51,14.63,4.12,1
FI1C,2,1,45.3551912568306,43.98907103825137,1,1.598038,1,1,0,1,0,1,0,0,1,1,8.4,1,36.2,1,79.98,1,1.8,1,4.22,1,4.5,1,32.42,38.96,27.79,0.81,1,44.5,43.35,10.4,1.73,1
FR10,0,1,22.63157894736842,33.94736842105263,1,0.551796,1,1,0,1,1,1,0,0,1,1,9,1,41.9,1,71.24,1,-4.4,1,17.22,1,0.3,1,39.9,37.22,21.65,1.21,1,67.17,21.53,10.76,0.51,1
FR24,0,1,23,30,1,0.947852,1,1,0,1,1,1,0,0,1,1,10.5,1,27.1,1,69.2,1,0.7,1,0.96,1,4,1,34.48,42.52,21.83,1.14,1,57.6,32.6,8.69,1.08,1
FR26,0,1,18.421052631578945,28.947368421052634,1,0.434835,1,1,0,0,1,1,0,0,1,1,10.6,1,26.8,1,68.46,1,0.2,1,0.27,1,7.8,1,23.68,52.63,21.05,2.63,1,55.88,29.41,14.7,0,1
FR30,1,1,16.176470588235293,24.264705882352942,1,0.285524,1,1,0,1,1,1,0,1,0,1,14.7,1,27.7,1,65.92,1,-3,1,4.03,1,1,1,30,37.5,30,2.5,1,54.01,29.92,12.4,3.64,1
FR41,2,1,17.073170731707318,21.951219512195124,1,0.509552,1,1,0,1,1,1,0,1,0,1,12.1,1,27.6,1,67.78,1,-2.8,1,0.92,1,3,1,25,40,30,5,1,45.55,26.66,24.44,3.33,1
FR51,0,1,9.166666666666666,23.333333333333332,1,0.73872,1,1,0,0,1,1,0,0,1,1,8.8,1,28.1,1,69.65,1,4.1,1,2.84,1,4.9,1,30.43,37.39,26.95,5.21,1,49.56,34.78,12.17,3.47,1
FR52,2,1,18.446601941747574,30.097087378640776,1,1.146102,1,1,0,1,1,1,0,0,1,1,8,1,33.4,1,70.81,1,4.5,1,2.33,1,5.5,1,24.34,40,33.04,2.6,1,50,31.25,17.85,0.89,1
FR53,0,1,9.30232558139535,23.25581395348837,1,0.892842,1,1,0,0,1,1,0,1,0,1,9.9,1,23.1,1,68.67,1,3.7,1,-0.11,1,5.4,1,26.82,39.02,30.48,3.65,1,53.84,32.96,9.89,3.29,1
FR61,2,1,17.857142857142858,27.67857142857143,1,0.93857,1,1,0,1,1,1,0,0,1,1,8.9,1,29,1,69.37,1,7.5,1,2.6,1,4.5,1,33.67,33.67,26.53,6.12,1,59.79,25.77,14.43,0,1
FR62,2,1,18.627450980392158,24.509803921568626,1,0.890183,1,1,0,1,1,1,0,0,1,1,8.6,1,39.9,1,70.56,1,6.4,1,2.55,1,4.5,1,34.9,36.79,26.41,1.88,1,63.55,22.42,14.01,0,1
